city,date,wins
Golden State Warriors,20180331,55
Golden State Warriors,20180329,54
Golden State Warriors,20180327,54
Golden State Warriors,20180325,54
Golden State Warriors,20180323,54
Golden State Warriors,20180319,53
Golden State Warriors,20180317,53
Golden State Warriors,20180316,52
Golden State Warriors,20180314,52
Golden State Warriors,20180311,51
Golden State Warriors,20180309,51
Golden State Warriors,20180308,51
Golden State Warriors,20180306,50
Golden State Warriors,20180302,49
Golden State Warriors,20180228,48
Golden State Warriors,20180226,47
Golden State Warriors,20180224,46
Golden State Warriors,20180222,45
Golden State Warriors,20180214,44
Golden State Warriors,20180212,44
Golden State Warriors,20180210,43
Golden State Warriors,20180208,42
Golden State Warriors,20180206,41
Golden State Warriors,20180203,41
Golden State Warriors,20180202,41
Golden State Warriors,20180130,40
Golden State Warriors,20180127,40
Golden State Warriors,20180125,39
Golden State Warriors,20180123,38
Golden State Warriors,20180120,37
Golden State Warriors,20180117,37
Golden State Warriors,20180115,36
Golden State Warriors,20180113,35
Golden State Warriors,20180112,34
Golden State Warriors,20180110,33
Golden State Warriors,20180108,33
Golden State Warriors,20180106,32
Golden State Warriors,20180104,31
Golden State Warriors,20180103,30
Golden State Warriors,20171230,29
Golden State Warriors,20171229,28
Golden State Warriors,20171227,28
Golden State Warriors,20171225,27
Golden State Warriors,20171223,26
Golden State Warriors,20171222,26
Golden State Warriors,20171220,25
Golden State Warriors,20171218,24
Golden State Warriors,20171214,23
Golden State Warriors,20171211,22
Golden State Warriors,20171208,21
Golden State Warriors,20171206,20
Golden State Warriors,20171204,19
Golden State Warriors,20171203,18
Golden State Warriors,20171201,17
Golden State Warriors,20171129,16
Golden State Warriors,20171127,15
Golden State Warriors,20171125,15
Golden State Warriors,20171124,14
Golden State Warriors,20171122,13
Golden State Warriors,20171119,13
Golden State Warriors,20171118,12
Golden State Warriors,20171116,11
Golden State Warriors,20171113,11
Golden State Warriors,20171111,10
Golden State Warriors,20171108,9
Golden State Warriors,20171106,8
Golden State Warriors,20171104,7
Golden State Warriors,20171102,6
Golden State Warriors,20171030,5
Golden State Warriors,20171029,4
Golden State Warriors,20171027,4
Golden State Warriors,20171025,3
Golden State Warriors,20171023,2
Golden State Warriors,20171021,1
Golden State Warriors,20171020,1
Golden State Warriors,20171017,0
Houston Rockets,20180411,65
Houston Rockets,20180410,65
Houston Rockets,20180407,64
Houston Rockets,20180405,64
Houston Rockets,20180403,63
Houston Rockets,20180401,62
Houston Rockets,20180330,62
Houston Rockets,20180327,61
Houston Rockets,20180325,60
Houston Rockets,20180324,59
Houston Rockets,20180322,58
Houston Rockets,20180320,57
Houston Rockets,20180318,56
Houston Rockets,20180317,55
Houston Rockets,20180315,54
Houston Rockets,20180312,53
Houston Rockets,20180311,52
Houston Rockets,20180309,51
Houston Rockets,20180307,51
Houston Rockets,20180306,50
Houston Rockets,20180303,49
Houston Rockets,20180228,48
Houston Rockets,20180226,47
Houston Rockets,20180225,46
Houston Rockets,20180223,45
Houston Rockets,20180214,44
Houston Rockets,20180213,43
Houston Rockets,20180211,42
Houston Rockets,20180209,41
Houston Rockets,20180207,40
Houston Rockets,20180206,39
Houston Rockets,20180203,38
Houston Rockets,20180201,37
Houston Rockets,20180130,36
Houston Rockets,20180128,35
Houston Rockets,20180126,34
Houston Rockets,20180124,34
Houston Rockets,20180122,33
Houston Rockets,20180120,32
Houston Rockets,20180118,31
Houston Rockets,20180115,30
Houston Rockets,20180112,30
Houston Rockets,20180110,29
Houston Rockets,20180108,28
Houston Rockets,20180106,27
Houston Rockets,20180104,27
Houston Rockets,20180103,27
Houston Rockets,20171231,26
Houston Rockets,20171229,25
Houston Rockets,20171228,25
Houston Rockets,20171225,25
Houston Rockets,20171222,25
Houston Rockets,20171220,25
Houston Rockets,20171218,25
Houston Rockets,20171216,24
Houston Rockets,20171215,23
Houston Rockets,20171213,22
Houston Rockets,20171211,21
Houston Rockets,20171209,20
Houston Rockets,20171207,19
Houston Rockets,20171203,18
Houston Rockets,20171129,17
Houston Rockets,20171127,16
Houston Rockets,20171125,15
Houston Rockets,20171122,14
Houston Rockets,20171118,13
Houston Rockets,20171116,12
Houston Rockets,20171114,11
Houston Rockets,20171112,11
Houston Rockets,20171111,10
Houston Rockets,20171109,9
Houston Rockets,20171105,8
Houston Rockets,20171103,7
Houston Rockets,20171101,6
Houston Rockets,20171030,5
Houston Rockets,20171028,5
Houston Rockets,20171027,5
Houston Rockets,20171025,4
Houston Rockets,20171023,3
Houston Rockets,20171021,3
Houston Rockets,20171018,2
Houston Rockets,20171017,1
Indiana Pacers,20180410,48
Indiana Pacers,20180408,48
Indiana Pacers,20180406,47
Indiana Pacers,20180405,47
Indiana Pacers,20180403,46
Indiana Pacers,20180401,46
Indiana Pacers,20180329,45
Indiana Pacers,20180327,44
Indiana Pacers,20180325,43
Indiana Pacers,20180323,42
Indiana Pacers,20180321,41
Indiana Pacers,20180319,41
Indiana Pacers,20180317,40
Indiana Pacers,20180315,40
Indiana Pacers,20180313,40
Indiana Pacers,20180311,39
Indiana Pacers,20180309,38
Indiana Pacers,20180307,37
Indiana Pacers,20180305,37
Indiana Pacers,20180304,36
Indiana Pacers,20180302,35
Indiana Pacers,20180228,34
Indiana Pacers,20180226,34
Indiana Pacers,20180223,34
Indiana Pacers,20180214,33
Indiana Pacers,20180211,32
Indiana Pacers,20180209,31
Indiana Pacers,20180205,30
Indiana Pacers,20180203,30
Indiana Pacers,20180202,29
Indiana Pacers,20180131,29
Indiana Pacers,20180129,28
Indiana Pacers,20180127,27
Indiana Pacers,20180126,26
Indiana Pacers,20180124,26
Indiana Pacers,20180121,25
Indiana Pacers,20180119,24
Indiana Pacers,20180118,24
Indiana Pacers,20180115,24
Indiana Pacers,20180114,23
